,success_label
success_label,1.0
Year Founded,0.9999814876291824
Exit Status,0.9158718901321835
Region,0.8454743140350345
Funding Rounds,0.8410416571946794
Industry,0.8403545466210606
startup_name,0.8315669241766094
Employees,0.8136194508403641
Market Share (%),0.8121680134077233
Funding Amount (M USD),0.8030618349015473
Revenue (M USD),0.7802156020084231
Valuation (M USD),0.727640910809749
Profitable,0.5547934613961808
age_first_milestone_year,0.1430938532606041
age_last_milestone_year,0.12952763223891076
has_roundB,0.11338208624824567
has_angel,0.10588025033139409
is_advertising,0.0903287991564849
funding_rounds,0.08902699195046428
has_roundA,0.08436716871755544
has_roundD,0.08348890042668691
age_last_funding_year,0.08117119600736723
labels,0.07883549381589873
status,0.07883549381589863
is_ecommerce,0.07073236362671881
latitude,0.07072516213134677
has_roundC,0.0700156276314377
relationships,0.06383765996268677
funding_total_usd,0.05159820949046638
state_code,0.049264390381715185
state_code.1,0.04898684259359056
is_MA,0.04360150570092242
is_CA,0.04178189246102857
is_enterprise,0.03566703559584682
is_top500,0.03508894148077612
is_gamesvideo,0.031947904567972286
is_TX,0.030818271735379595
category_code,0.029453029102864778
is_consulting,0.027283409001043264
is_web,0.02374361396172876
avg_participants,0.022001853284001283
is_otherstate,0.019747225222450978
is_othercategory,0.019542289567703045
is_biotech,0.01886788273357903
is_NY,0.017794697607327378
longitude,0.01726689335990353
is_mobile,0.015805416390557464
milestones,0.014563392662315652
is_software,0.00475619469334096
age_first_funding_year,0.004043780231306912
has_VC,0.0021747126964151036
Founded Year,
Country,
Industry_global,
Funding Stage,
Total Funding ($M),
Number of Employees,
Annual Revenue ($M),
Valuation ($B),
Acquired?,
IPO?,
Customer Base (Millions),
Tech Stack,
Social Media Followers,
Funding_to_Valuation_Ratio,
Revenue_per_Employee,
